,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,pc_username,function_name,date,time
0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
2,2.0,2.0,2.0,2.0,2.0,2.0,,,,,
3,3.0,3.0,3.0,3.0,3.0,3.0,,,,,
4,4.0,4.0,4.0,4.0,4.0,0.0,1.0,alesh,calculate_sum,27.08.2025,21:17:44
5,5.0,5.0,5.0,5.0,0.0,,1.0,alesh,calculate_sum,27.08.2025,21:17:47
6,6.0,6.0,6.0,0.0,,,1.0,alesh,calculate_sum,27.08.2025,21:20:53
7,7.0,7.0,0.0,,,,1.0,alesh,calculate_sum,27.08.2025,21:21:02
8,8.0,0.0,,,,,1.0,alesh,calculate_sum,27.08.2025,21:22:24
9,0.0,,,,,,1.0,alesh,calculate_sum,27.08.2025,21:22:29
0,,,,,,,1.0,alesh,calculate_sum,28.08.2025,13:47:27
